sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,68,細懸浮微粒,普通,0.6,0.2,40.2,23.7,55,24,7.3,8.6,1.2,0.9,103,"2023/03/17 14:00:00",0.3,22,47,1,121.760056,25.129167,1
汐止,新北市,75,細懸浮微粒,普通,1.7,0.22,32.8,20.7,58,27,13.7,18.4,4.6,1.6,70,"2023/03/17 14:00:00",0.4,25,47,1,121.64081,25.06624,2
萬里,新北市,60,細懸浮微粒,普通,0.6,0.18,42,27.7,51,26,6.2,8.4,2.2,3.3,358,"2023/03/17 14:00:00",0.2,19,44,0,121.689881,25.179667,3
新店,新北市,62,細懸浮微粒,普通,0.3,0.26,,,47,20,,,,2.9,356,"2023/03/17 14:00:00",0.3,19,38,0,121.537778,24.977222,4
土城,新北市,74,細懸浮微粒,普通,1.4,0.28,47.5,28.5,44,23,10.7,13.4,2.7,2.5,318,"2023/03/17 14:00:00",0.4,24,47,1,121.451861,24.982528,5
板橋,新北市,77,細懸浮微粒,普通,0.4,0.26,44,22.1,39,21,9.9,12.2,2.3,3.6,4,"2023/03/17 14:00:00",0.4,25,46,0,121.458667,25.012972,6
新莊,新北市,70,細懸浮微粒,普通,0.5,0.19,44.4,27.8,41,21,7.5,9.6,2,3.9,10,"2023/03/17 14:00:00",0.3,23,48,0,121.4325,25.037972,7
菜寮,新北市,69,細懸浮微粒,普通,0.7,0.25,42.8,28.6,44,26,9.5,12.1,2.5,2.8,10,"2023/03/17 14:00:00",0.3,23,42,0,121.481028,25.06895,8
林口,新北市,58,細懸浮微粒,普通,0.4,0.16,45,35.1,33,20,3.4,4.1,0.7,0.3,324,"2023/03/17 14:00:00",0.1,18,32,0,121.36548982,25.07798949,9
淡水,新北市,54,細懸浮微粒,普通,0.9,0.2,39.2,32.7,39,18,8.1,9.6,1.5,,,"2023/03/17 14:00:00",0.2,16,35,0,121.449239,25.1645,10
士林,臺北市,72,細懸浮微粒,普通,0.4,0.19,43.5,27.9,42,21,7.4,9.1,1.7,3,250,"2023/03/17 14:00:00",0.2,23,45,0,121.51666356,25.10334003,11
中山,臺北市,75,細懸浮微粒,普通,0.6,0.44,33.8,21.7,57,24,20.4,31.5,11.1,2.5,340,"2023/03/17 14:00:00",0.5,25,55,0,121.526528,25.062361,12
萬華,臺北市,76,細懸浮微粒,普通,0.6,0.34,37.9,23.9,43,24,13.8,17.8,3.9,2,24,"2023/03/17 14:00:00",0.4,25,42,1,121.507972,25.046503,13
古亭,臺北市,76,細懸浮微粒,普通,0.9,0.26,42.5,25.8,41,23,9.9,11.9,1.9,1.4,6,"2023/03/17 14:00:00",0.4,25,41,1,121.529556,25.020608,14
松山,臺北市,77,細懸浮微粒,普通,1.2,0.27,45,25.4,42,22,12.5,15.9,3.4,1.9,299,"2023/03/17 14:00:00",0.4,25,44,1,121.578611,25.05,15
大同,臺北市,80,細懸浮微粒,普通,0.9,0.51,31.9,18.5,51,27,19,29.8,10.8,-,-,"2023/03/17 14:00:00",0.9,27,49,1,121.51342074,25.06331455,16
桃園,桃園市,75,細懸浮微粒,普通,1.9,0.23,45.4,30.1,47,28,9.6,11.5,1.9,2,289,"2023/03/17 14:00:00",0.2,25,50,1,121.30500531,24.9947107,17
大園,桃園市,56,細懸浮微粒,普通,1.3,0.22,46.5,34.9,34,19,7.3,9,1.7,2.8,3,"2023/03/17 14:00:00",0.2,17,40,1,121.20251473,25.06100357,18
觀音,桃園市,52,細懸浮微粒,普通,0.7,0.15,46.1,38.1,28,20,5.3,6.4,1,2.4,11,"2023/03/17 14:00:00",0.1,15,32,0,121.08283092,25.03556747,19
平鎮,桃園市,61,細懸浮微粒,普通,0.5,0.27,43.7,30.5,43,24,10.2,12.8,2.5,1.4,30,"2023/03/17 14:00:00",0.3,19,41,0,121.203986,24.952786,20
龍潭,桃園市,79,細懸浮微粒,普通,2,0.24,48.7,32.2,41,26,11.8,14.6,2.8,1.4,332,"2023/03/17 14:00:00",0.3,27,39,1,121.21645772,24.86400048,21
湖口,新竹縣,62,細懸浮微粒,普通,0.9,0.18,48,38,41,19,3.9,5,1.1,0.7,13,"2023/03/17 14:00:00",0.1,20,37,0,121.03886894,24.90009696,22
竹東,新竹縣,69,細懸浮微粒,普通,0.2,0.25,48,32.9,45,22,16.7,18.1,1.3,2.2,269,"2023/03/17 14:00:00",0.3,22,43,0,121.08895493,24.74091408,23
新竹,新竹市,58,細懸浮微粒,普通,0.4,0.21,47.6,32.2,38,18,6.9,8,1,0.8,32,"2023/03/17 14:00:00",0.2,18,41,0,120.97236752,24.8056356,24
頭份,苗栗縣,65,細懸浮微粒,普通,1.5,0.19,50.4,29,41,19,3.5,5.9,2.3,2.6,335,"2023/03/17 14:00:00",0.3,21,42,1,120.89869286,24.69690679,25
苗栗,苗栗縣,67,細懸浮微粒,普通,1.2,0.17,48.9,30.7,39,24,4.8,6,1.2,2.5,6,"2023/03/17 14:00:00",0.2,21,41,1,120.82011468,24.56499183,26
三義,苗栗縣,60,細懸浮微粒,普通,0.9,0.19,53.3,38.6,42,18,3.5,4.1,0.5,2.8,358,"2023/03/17 14:00:00",0.2,19,39,0,120.75956754,24.38248443,27
豐原,臺中市,80,細懸浮微粒,普通,,0.22,49.2,36,51,30,6.3,8.1,1.8,2.7,315,"2023/03/17 14:00:00",0.3,27,44,,120.74252414,24.25699731,28
沙鹿,臺中市,69,細懸浮微粒,普通,1.1,0.19,51.9,32.9,52,18,4.6,5.8,1.2,3.2,351,"2023/03/17 14:00:00",0.2,23,55,1,120.568794,24.225628,29
大里,臺中市,89,細懸浮微粒,普通,1.1,0.26,61.7,33.4,45,18,8,9.3,1.3,2,336,"2023/03/17 14:00:00",0.4,30,65,1,120.67844444,24.09961111,30
忠明,臺中市,72,細懸浮微粒,普通,0.7,0.22,57.8,35.6,48,17,9.8,10.8,1,2.6,324,"2023/03/17 14:00:00",0.4,24,52,1,120.641092,24.151958,31
